SpeciesCode,BandNumberOut,Date,Year,Month,Day,Country,StateProvince,Area,Latitude_dec,Longitude_dec,Age,FieldSex,GenSex,BloodFilter,ChickAge_d,ChickAgeType,Notes
SPSA,257153342,6/10/2023,2023,6,10,USA,Alaska,Eielson,64.71429,-147.11974,AHY,U,m,Y,,,
SPSA,257153343,6/11/2023,2023,6,11,USA,Alaska,Eielson,64.71336,-147.11909,AHY,U,f,Y,,,
SPSA,257153344,6/11/2023,2023,6,11,USA,Alaska,Eielson,64.71336,-147.11909,AHY,U,f,Y,,,
SPSA,257153345,6/13/2023,2023,6,13,USA,Alaska,Eielson,64.71017,-147.11853,AHY,U,f,Y,,,
SPSA,257153346,6/19/2023,2023,6,19,USA,Alaska,Eielson,64.71276,-147.11782,AHY,U,m,Y,,,
SPSA,257153348,6/19/2023,2023,6,19,USA,Alaska,Eielson,64.710774,-147.117101,AHY,U,m,Y,,,
SPSA,257153349,6/19/2023,2023,6,19,USA,Alaska,Eielson,64.714444,-147.119514,AHY,U,m,Y,,,
SPSA,294120313,6/18/2024,2024,6,18,USA,Alaska,Eielson,64.70914,-147.11903,AHY,U,m,Y,,,trapped on nest
SPSA,294120314,6/18/2024,2024,6,18,USA,Alaska,Eielson,64.71322,-147.11918,AHY,U,m,Y,,,trapped on nest
SPSA,294120315,6/18/2024,2024,6,18,USA,Alaska,Eielson,64.71271,-147.11737,AHY,U,m,Y,,,trapped on nest
